the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp,objectid
,,2021-12-28 05:00:00+00,4888,positive,2024-12-09 16:00:01.938486+00,283615
,,2024-02-23 05:00:00+00,200,negative,2024-12-09 16:00:01.938486+00,283616
,,2020-08-16 04:00:00+00,48,positive,2024-12-09 16:00:01.938486+00,283617
,,2020-04-13 04:00:00+00,510,negative,2024-12-09 16:00:01.938486+00,283618
,,2020-11-16 05:00:00+00,6576,negative,2024-12-09 16:00:01.938486+00,283619
,,2023-05-06 04:00:00+00,343,negative,2024-12-09 16:00:01.938486+00,283620
,,2022-12-30 05:00:00+00,269,positive,2024-12-09 16:00:01.938486+00,283621
,,2021-04-04 04:00:00+00,363,positive,2024-12-09 16:00:01.938486+00,283622
,,2023-11-15 05:00:00+00,80,positive,2024-12-09 16:00:01.938486+00,283623
,,2020-05-08 04:00:00+00,1618,negative,2024-12-09 16:00:01.938486+00,283624
,,2022-08-08 04:00:00+00,2025,negative,2024-12-09 16:00:01.938486+00,283625
,,2024-03-21 04:00:00+00,182,negative,2024-12-09 16:00:01.938486+00,283626
,,2021-11-19 05:00:00+00,306,positive,2024-12-09 16:00:01.938486+00,283627
,,2022-04-01 04:00:00+00,107,positive,2024-12-09 16:00:01.938486+00,283628
,,2020-09-24 04:00:00+00,119,positive,2024-12-09 16:00:01.938486+00,283629
,,2021-07-25 04:00:00+00,1896,negative,2024-12-09 16:00:01.938486+00,283630
,,2022-11-23 05:00:00+00,203,positive,2024-12-09 16:00:01.938486+00,283631
,,2020-10-22 04:00:00+00,6006,negative,2024-12-09 16:00:01.938486+00,283632
,,2023-04-09 04:00:00+00,393,negative,2024-12-09 16:00:01.938486+00,283633
,,2021-02-24 05:00:00+00,321,positive,2024-12-09 16:00:01.938486+00,283634
,,2021-11-05 04:00:00+00,9304,negative,2024-12-09 16:00:01.938486+00,283635
,,2021-07-07 04:00:00+00,41,positive,2024-12-09 16:00:01.938486+00,283636
,,2020-05-26 04:00:00+00,244,positive,2024-12-09 16:00:01.938486+00,283637
,,2022-11-19 05:00:00+00,1147,negative,2024-12-09 16:00:01.938486+00,282953
,,2020-06-17 04:00:00+00,151,positive,2024-12-09 16:00:01.938486+00,282954
,,2022-02-26 05:00:00+00,46,positive,2024-12-09 16:00:01.938486+00,282955
,,2021-10-26 04:00:00+00,7994,negative,2024-12-09 16:00:01.938486+00,282956
,,2023-12-09 05:00:00+00,139,negative,2024-12-09 16:00:01.938486+00,282957
,,2023-08-18 04:00:00+00,81,positive,2024-12-09 16:00:01.938486+00,282958
,,2022-06-29 04:00:00+00,381,positive,2024-12-09 16:00:01.938486+00,282959
,,2023-07-30 04:00:00+00,24,positive,2024-12-09 16:00:01.938486+00,282960
,,2023-03-15 04:00:00+00,955,negative,2024-12-09 16:00:01.938486+00,282961
,,2021-06-16 04:00:00+00,3306,negative,2024-12-09 16:00:01.938486+00,282962
,,2024-04-27 04:00:00+00,89,negative,2024-12-09 16:00:01.938486+00,282963
,,2021-02-11 05:00:00+00,330,positive,2024-12-09 16:00:01.938486+00,282964
,,2023-03-07 05:00:00+00,98,positive,2024-12-09 16:00:01.938486+00,282965
,,2021-01-18 05:00:00+00,7255,negative,2024-12-09 16:00:01.938486+00,282966
,,2021-06-08 04:00:00+00,40,positive,2024-12-09 16:00:01.938486+00,282967
,,2023-07-06 04:00:00+00,108,negative,2024-12-09 16:00:01.938486+00,282968
,,2021-01-03 05:00:00+00,381,positive,2024-12-09 16:00:01.938486+00,282969
,,2023-02-16 05:00:00+00,1155,negative,2024-12-09 16:00:01.938486+00,282970
,,2021-05-22 04:00:00+00,3052,negative,2024-12-09 16:00:01.938486+00,282971
,,2023-06-23 04:00:00+00,14,positive,2024-12-09 16:00:01.938486+00,282972
,,2022-09-27 04:00:00+00,2025,negative,2024-12-09 16:00:01.938486+00,282973
,,2024-01-31 05:00:00+00,231,negative,2024-12-09 16:00:01.938486+00,282974
,,2022-01-04 05:00:00+00,5780,positive,2024-12-09 16:00:01.938486+00,282975
,,2022-05-17 04:00:00+00,625,positive,2024-12-09 16:00:01.938486+00,282976
,,2023-09-30 04:00:00+00,54,positive,2024-12-09 16:00:01.938486+00,282977
,,2020-08-09 04:00:00+00,75,positive,2024-12-09 16:00:01.938486+00,282978
,,2021-09-13 04:00:00+00,10815,negative,2024-12-09 16:00:01.938486+00,282979
,,2020-03-19 04:00:00+00,35,negative,2024-12-09 16:00:01.938486+00,282980
,,2021-08-20 04:00:00+00,279,positive,2024-12-09 16:00:01.938486+00,282981
,,2021-12-27 05:00:00+00,4988,negative,2024-12-09 16:00:01.938486+00,282982
,,2020-04-12 04:00:00+00,206,positive,2024-12-09 16:00:01.938486+00,282983
,,2020-08-17 04:00:00+00,3085,negative,2024-12-09 16:00:01.938486+00,282984
,,2022-09-03 04:00:00+00,148,positive,2024-12-09 16:00:01.938486+00,282985
,,2023-10-08 04:00:00+00,122,negative,2024-12-09 16:00:01.938486+00,282986
,,2022-05-09 04:00:00+00,3658,negative,2024-12-09 16:00:01.938486+00,282987
,,2024-02-24 05:00:00+00,54,positive,2024-12-09 16:00:01.938486+00,282988
,,2020-12-27 05:00:00+00,3881,negative,2024-12-09 16:00:01.938486+00,282989
,,2023-06-14 04:00:00+00,118,negative,2024-12-09 16:00:01.938486+00,282990
,,2023-01-24 05:00:00+00,294,positive,2024-12-09 16:00:01.938486+00,282991
,,2021-04-27 04:00:00+00,483,positive,2024-12-09 16:00:01.938486+00,282992
,,2022-01-27 05:00:00+00,527,positive,2024-12-09 16:00:01.938486+00,282993
,,2024-01-12 05:00:00+00,240,negative,2024-12-09 16:00:01.938486+00,282994
,,2022-05-30 04:00:00+00,170,positive,2024-12-09 16:00:01.938486+00,282995
